session_id,target
1,0.00011976804396438645
2,1.8238876518269797e-07
3,1.4277001669846157e-07
4,1.2711076612340693e-08
5,7.920702372463757e-05
6,1.699383376707569e-05
7,0.002469031536363413
8,0.0006380659230829009
9,6.28158379176678e-05
10,0.003335672534312446
11,8.268058752648906e-05
12,6.926848245670472e-06
13,2.9110434320267323e-05
14,0.014748474829513279
15,0.000354962082987191
16,0.0002199981395402626
17,0.026300340696454018
18,2.763960073187344e-06
19,0.002984947970584213
20,3.7909476223835746e-07
21,0.09518285970016825
22,3.0808068208935316e-08
23,0.00011353386205109651
24,0.00010378972296118204
25,0.09999430664844151
26,1.3302156862526602e-07
27,3.5214827090985495e-05
28,6.421002923709613e-08
29,0.030808211601688448
30,0.00036417236414207604
31,0.026440114683508743
32,0.06412210260794175
33,4.9942339574783274e-05
34,8.176860264413973e-07
35,0.02609820887226573
36,0.0009573367070398728
37,1.1305956367554918e-09
38,1.9583715874604817e-07
39,0.00036417236414207604
40,2.758683985481435e-06
41,0.0017882694840206986
42,0.0001429191654286337
43,1.676829503565666e-05
44,4.191324464684903e-05
45,0.20444060033271358
46,4.1380996617591446e-05
47,0.00028066697114034197
48,2.092615959363494e-05
49,8.920332992677215e-05
50,9.498337668288797e-07
51,2.5187715895923536e-08
52,3.663773015270781e-05
53,0.04985554403796429
54,0.00028327414304352567
55,1.9109466271734232e-05
56,0.0003004562088020509
57,2.092750576328524e-07
58,2.5244645226656662e-06
59,3.680599234731994e-06
60,5.003669265562575e-07
61,8.444548133962035e-07
62,0.0001746101073217471
63,2.2343659259736852e-06
64,7.71314331229984e-05
65,2.725378023308909e-06
66,8.027234988493304e-07
67,3.948972381961334e-05
68,0.00047199898585435405
69,0.12448721128256174
70,1.4424347548591538e-05
71,0.000789482911844298
72,0.00019636295490122504
73,0.004483932818382577
74,9.732370913652056e-06
75,0.0001159052330977871
76,0.0014306738832051305
77,0.000750288882510837
78,0.004123452168949138
79,3.3569808902525904e-05
80,5.462035931520178e-06
